,ensemble_size,random,covariance,bandwidth,sampling,RMSE
0,5,[2599951329 1974882156],0.25,0.3333333333333333,sample_multivariate_normal,3.304203987020284
1,5,[2599951329 1974882156],0.25,0.3333333333333333,rejection_sample_batch,0.5949805330257728
2,5,[2599951329 1974882156],0.25,0.6666666666666666,sample_multivariate_normal,0.5905286993879675
3,5,[2599951329 1974882156],0.25,0.6666666666666666,rejection_sample_batch,0.5647953711869341
4,5,[2599951329 1974882156],0.25,1.0,sample_multivariate_normal,0.6101069611137355
5,5,[2599951329 1974882156],0.25,1.0,rejection_sample_batch,0.5605247280099684
6,5,[2599951329 1974882156],1.0,0.3333333333333333,sample_multivariate_normal,3.147144784823139
7,5,[2599951329 1974882156],1.0,0.3333333333333333,rejection_sample_batch,0.6477510521265964
8,5,[2599951329 1974882156],1.0,0.6666666666666666,sample_multivariate_normal,2.92486056572273
9,5,[2599951329 1974882156],1.0,0.6666666666666666,rejection_sample_batch,0.6297416067355276
10,5,[2599951329 1974882156],1.0,1.0,sample_multivariate_normal,2.9145466864768528
11,5,[2599951329 1974882156],1.0,1.0,rejection_sample_batch,0.639943763624723
12,5,[2599951329 1974882156],4.0,0.3333333333333333,sample_multivariate_normal,3.487214158859533
13,5,[2599951329 1974882156],4.0,0.3333333333333333,rejection_sample_batch,0.6945054693303009
14,5,[2599951329 1974882156],4.0,0.6666666666666666,sample_multivariate_normal,3.511431942659677
15,5,[2599951329 1974882156],4.0,0.6666666666666666,rejection_sample_batch,0.6835504317014551
16,5,[2599951329 1974882156],4.0,1.0,sample_multivariate_normal,3.5111773027039437
17,5,[2599951329 1974882156],4.0,1.0,rejection_sample_batch,0.6799872390628845
18,5,[2457345722  781124476],0.25,0.3333333333333333,sample_multivariate_normal,0.6193258876778951
19,5,[2457345722  781124476],0.25,0.3333333333333333,rejection_sample_batch,0.5795731635008969
20,5,[2457345722  781124476],0.25,0.6666666666666666,sample_multivariate_normal,2.5765704531271725
21,5,[2457345722  781124476],0.25,0.6666666666666666,rejection_sample_batch,0.5464522847893686
22,5,[2457345722  781124476],0.25,1.0,sample_multivariate_normal,1.6904170512439556
23,5,[2457345722  781124476],0.25,1.0,rejection_sample_batch,0.5671459553717015
24,5,[2457345722  781124476],1.0,0.3333333333333333,sample_multivariate_normal,3.400016931365735
25,5,[2457345722  781124476],1.0,0.3333333333333333,rejection_sample_batch,0.67158213940296
26,5,[2457345722  781124476],1.0,0.6666666666666666,sample_multivariate_normal,2.9502696561048585
27,5,[2457345722  781124476],1.0,0.6666666666666666,rejection_sample_batch,0.6242941182394978
28,5,[2457345722  781124476],1.0,1.0,sample_multivariate_normal,0.7984826429626201
29,5,[2457345722  781124476],1.0,1.0,rejection_sample_batch,0.6400406849398078
30,5,[2457345722  781124476],4.0,0.3333333333333333,sample_multivariate_normal,3.475462704065675
31,5,[2457345722  781124476],4.0,0.3333333333333333,rejection_sample_batch,0.700819096378924
32,5,[2457345722  781124476],4.0,0.6666666666666666,sample_multivariate_normal,3.5114862795499873
33,5,[2457345722  781124476],4.0,0.6666666666666666,rejection_sample_batch,0.6571797754331837
34,5,[2457345722  781124476],4.0,1.0,sample_multivariate_normal,3.5095338232316857
35,5,[2457345722  781124476],4.0,1.0,rejection_sample_batch,0.6673305186135484
36,5,[4168375336 1575380715],0.25,0.3333333333333333,sample_multivariate_normal,1.1133783555496912
37,5,[4168375336 1575380715],0.25,0.3333333333333333,rejection_sample_batch,0.5939802215580616
38,5,[4168375336 1575380715],0.25,0.6666666666666666,sample_multivariate_normal,0.6031965500840466
39,5,[4168375336 1575380715],0.25,0.6666666666666666,rejection_sample_batch,0.5695114882816918
40,5,[4168375336 1575380715],0.25,1.0,sample_multivariate_normal,2.8027991691303007
41,5,[4168375336 1575380715],0.25,1.0,rejection_sample_batch,0.578307238990017
42,5,[4168375336 1575380715],1.0,0.3333333333333333,sample_multivariate_normal,2.389393815313571
43,5,[4168375336 1575380715],1.0,0.3333333333333333,rejection_sample_batch,0.6826451660117389
44,5,[4168375336 1575380715],1.0,0.6666666666666666,sample_multivariate_normal,2.873636241763797
45,5,[4168375336 1575380715],1.0,0.6666666666666666,rejection_sample_batch,0.6564512343286761
46,5,[4168375336 1575380715],1.0,1.0,sample_multivariate_normal,3.407365243833696
47,5,[4168375336 1575380715],1.0,1.0,rejection_sample_batch,0.6359586103617144
48,5,[4168375336 1575380715],4.0,0.3333333333333333,sample_multivariate_normal,3.5166471751110704
49,5,[4168375336 1575380715],4.0,0.3333333333333333,rejection_sample_batch,0.6984981267607375
50,5,[4168375336 1575380715],4.0,0.6666666666666666,sample_multivariate_normal,3.511465387118977
51,5,[4168375336 1575380715],4.0,0.6666666666666666,rejection_sample_batch,0.6922473409875302
52,5,[4168375336 1575380715],4.0,1.0,sample_multivariate_normal,3.5114413292693687
53,5,[4168375336 1575380715],4.0,1.0,rejection_sample_batch,0.6749312902341063
54,5,[3617162208 2484430174],0.25,0.3333333333333333,sample_multivariate_normal,3.40278864884258
55,5,[3617162208 2484430174],0.25,0.3333333333333333,rejection_sample_batch,0.5964819573668392
56,5,[3617162208 2484430174],0.25,0.6666666666666666,sample_multivariate_normal,2.378577804311666
57,5,[3617162208 2484430174],0.25,0.6666666666666666,rejection_sample_batch,0.5617820190790975
58,5,[3617162208 2484430174],0.25,1.0,sample_multivariate_normal,3.295738465751279
59,5,[3617162208 2484430174],0.25,1.0,rejection_sample_batch,0.5532314750186708
60,5,[3617162208 2484430174],1.0,0.3333333333333333,sample_multivariate_normal,0.6965437971877219
61,5,[3617162208 2484430174],1.0,0.3333333333333333,rejection_sample_batch,0.6949422171628242
62,5,[3617162208 2484430174],1.0,0.6666666666666666,sample_multivariate_normal,3.4055158490660613
63,5,[3617162208 2484430174],1.0,0.6666666666666666,rejection_sample_batch,0.6485443604771148
64,5,[3617162208 2484430174],1.0,1.0,sample_multivariate_normal,3.400572905236896
65,5,[3617162208 2484430174],1.0,1.0,rejection_sample_batch,0.6310149886468326
66,5,[3617162208 2484430174],4.0,0.3333333333333333,sample_multivariate_normal,3.5115122883778778
67,5,[3617162208 2484430174],4.0,0.3333333333333333,rejection_sample_batch,0.7111078844790892
